img_name,x,y,w,h
Grasp1/color/Color_0001.bmp,275.0,126.0,248.0,248.0
Grasp1/color/Color_0002.bmp,275.0,127.0,248.0,248.0
Grasp1/color/Color_0003.bmp,275.0,127.0,248.0,248.0
Grasp1/color/Color_0004.bmp,275.0,126.0,248.0,248.0
Grasp1/color/Color_0005.bmp,275.0,126.0,248.0,248.0
Grasp1/color/Color_0006.bmp,275.0,127.0,248.0,248.0
Grasp1/color/Color_0007.bmp,276.0,129.0,248.0,248.0
Grasp1/color/Color_0008.bmp,276.0,129.0,248.0,248.0
Grasp1/color/Color_0009.bmp,276.0,134.0,248.0,248.0
Grasp1/color/Color_0010.bmp,276.0,134.0,248.0,248.0
Grasp1/color/Color_0011.bmp,276.0,134.0,248.0,248.0
Grasp1/color/Color_0012.bmp,276.0,140.0,248.0,248.0
Grasp1/color/Color_0013.bmp,276.0,140.0,248.0,248.0
Grasp1/color/Color_0014.bmp,279.0,146.0,248.0,248.0
Grasp1/color/Color_0015.bmp,277.0,147.0,248.0,248.0
Grasp1/color/Color_0016.bmp,276.0,152.0,248.0,248.0
Grasp1/color/Color_0017.bmp,275.0,151.0,248.0,248.0
Grasp1/color/Color_0018.bmp,276.0,152.0,248.0,248.0
Grasp1/color/Color_0019.bmp,275.0,160.0,248.0,248.0
Grasp1/color/Color_0020.bmp,275.0,160.0,248.0,248.0
Grasp1/color/Color_0021.bmp,274.0,167.0,248.0,248.0
Grasp1/color/Color_0022.bmp,274.0,167.0,248.0,248.0
Grasp1/color/Color_0023.bmp,274.0,168.0,248.0,248.0
Grasp1/color/Color_0024.bmp,272.0,176.0,248.0,248.0
Grasp1/color/Color_0025.bmp,272.0,176.0,248.0,248.0
Grasp1/color/Color_0026.bmp,270.0,183.0,248.0,248.0
Grasp1/color/Color_0027.bmp,270.0,183.0,248.0,248.0
Grasp1/color/Color_0028.bmp,269.0,190.0,248.0,248.0
Grasp1/color/Color_0029.bmp,269.0,190.0,248.0,248.0
